"","X","frsid","cas","column_label","year","trifd","facility_name","city","county","state","zip","lat","lon","ind_sector_cd","chemical.x","metal","carcinogen","units","fugitive","stack","cas_length","cas_std.x","cas_std.y","chemical_name","iarc_group","chemical.y","yr_added","expansion1995","core1988","core1995","core1998","core2000","core2001","facility_id","facility_number","rsei_street_address","rsei_county_fips","rsei_state_fips","stack_height","stack_height_source","industry1998","tri_date","stack_daily","fugative_daily"
"1",77056,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-01",38.3598901098901,2.01923076923077
"2",77057,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-02",38.3598901098901,2.01923076923077
"3",77058,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-03",38.3598901098901,2.01923076923077
"4",77059,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-04",38.3598901098901,2.01923076923077
"5",77060,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-05",38.3598901098901,2.01923076923077
"6",77061,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-06",38.3598901098901,2.01923076923077
"7",77062,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-07",38.3598901098901,2.01923076923077
"8",77063,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-08",38.3598901098901,2.01923076923077
"9",77064,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-09",38.3598901098901,2.01923076923077
"10",77065,110000469403,50000,"tri_1999_ut",1999,"84104WSTRN4340W","OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY","SALT LAKE CITY","SALT LAKE","UT",841044465,40.751116,-111.995572,327,"FORMALDEHYDE","NO","YES","Pounds",735,13963,5,"50-00-0","50-00-0","Formaldehyde","1","Formaldehyde",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84104WSTRN4340W",52497,"4340 W 850 S",49035,49,10.5,"Fac Spec",NA,"1999-01-10",38.3598901098901,2.01923076923077
