lati,long,zagl,Chemical,Release (lbs/year),YEAR,id
40.74211,-111.95801999999999,9.4,STYRENE,39468.0,2010,0
40.8461,-111.92662,10.7,STYRENE,12027.78,2010,1
40.786392,-111.91116299999999,9.4,STYRENE,4444.0,2010,2
41.105,-112.0336,7.7,STYRENE,1.0,2010,3
40.7344,-112.9681,35.6,STYRENE,7.0,2010,4
40.886022,-111.90475900000001,15.8,STYRENE,5.0,2010,5
40.8461,-111.92662,0.0,STYRENE,1586.47,2010,6
40.886022,-111.90475900000001,0.0,STYRENE,5.0,2010,7
