id,lati,long,zagl,YEAR
0,40.7889,-111.90441,30.5,1990
1,41.10335,-112.03189,0.0,1990
2,41.744977,-111.849247,0.0,1990
3,41.20345,-111.98239,2.1,1990
4,40.653604,-112.054074,22.5,1990
5,40.67413,-111.92328,9.8,1990
6,40.67413,-111.92328,0.0,1990
7,41.093219,-112.028221,0.0,1990
8,40.668325,-112.091908,0.0,1990
9,40.69384,-111.89586,0.0,1990
10,40.81676,-111.92468,0.0,1990
11,40.18577,-111.63096000000002,0.0,1990
12,40.76498,-111.91061,0.0,1990
13,40.74156,-111.95802,0.0,1990
14,41.744977,-111.849247,10.0,1990
15,40.72817,-111.88824,0.0,1990
16,41.8825,-112.1964,33.0,1990
17,40.78312,-111.95353,8.4,1990
18,40.86631,-111.91187,18.1,1990
19,40.273497,-111.676065,10.1,1990
20,40.73416,-111.958,11.0,1990
21,40.734036,-112.14104,36.7,1990
22,40.78202,-112.01349,10.1,1990
23,40.74203,-111.94455,17.6,1990
24,40.72803,-111.97521,11.0,1990
25,40.668325,-112.091908,11.6,1990
26,40.726834,-112.186278,16.6,1990
27,40.74546,-111.95802,9.1,1990
28,40.72557000000001,-112.00081000000002,28.0,1990
29,41.260369,-112.231233,11.8,1990
30,40.58775,-111.96951,12.5,1990
31,41.10335,-112.03189,9.1,1990
32,40.78312,-111.95353,0.0,1990
33,40.273497,-111.676065,0.0,1990
34,40.73416,-111.958,0.0,1990
35,40.73516,-111.91114,8.8,1990
36,40.57565,-112.02104,7.0,1990
37,40.7523,-111.9045,9.1,1990
38,40.640035,-111.90184,0.8,1990
39,40.729392,-111.97442,11.0,1990
40,41.09394,-112.01698,16.6,1990
41,41.663,-112.432,9.1,1990
42,40.69384,-111.89586,15.2,1990
43,40.736783,-111.96595,16.6,1990
44,40.388555,-110.12491,0.0,1990
45,40.297058,-111.734076,0.0,1990
46,40.8249,-111.9238,0.0,1990
47,40.7889,-111.90441,0.0,1990
48,40.886022,-111.904759,0.0,1990
49,40.915581,-112.734253,0.0,1990
50,40.838386,-111.921443,0.0,1990
51,40.233755,-111.658456,0.0,1990
52,40.734036,-112.14104,0.0,1990
53,40.78202,-112.01349,0.0,1990
54,40.082042,-111.587953,0.0,1990
55,40.74203,-111.94455,0.0,1990
56,40.726834,-112.186278,0.0,1990
57,40.74546,-111.95802,0.0,1990
58,41.24197,-111.97843,14.5,1990
59,40.72557000000001,-112.00081000000002,0.0,1990
60,40.34431,-111.74253,0.0,1990
61,40.58775,-111.96951,0.0,1990
62,41.24197,-111.97843,0.0,1990
63,40.70739,-111.89273,0.0,1990
64,40.34431,-111.74253,9.1,1990
65,41.20515,-112.01262,0.6,1990
66,41.260369,-112.231233,0.0,1990
67,40.70739,-111.89273,10.1,1990
68,41.20345,-111.98239,0.0,1990
69,41.663,-112.432,0.0,1990
70,40.915581,-112.734253,76.2,1990
71,40.74211,-111.95802,0.0,1990
72,40.85952,-111.91183999999998,0.0,1990
73,41.09394,-112.01698,0.0,1990
74,40.653604,-112.054074,0.0,1990
75,40.388555,-110.12491,10.7,1990
76,40.838386,-111.921443,53.6,1990
77,40.886022,-111.904759,15.8,1990
78,40.71342,-111.8997,0.0,1990
79,40.233755,-111.658456,7.6,1990
80,40.640035,-111.90184,0.0,1990
81,40.736783,-111.96595,0.0,1990
82,41.20515,-112.01262,0.0,1990
83,40.7523,-111.9045,0.0,1990
84,40.86631,-111.91187,0.0,1990
85,40.8249,-111.9238,22.6,1990
86,40.58775,-111.96951,0.0,1991
87,40.886022,-111.904759,0.0,1991
88,40.7889,-111.90441,0.0,1991
89,40.233755,-111.658456,0.0,1991
90,40.74203,-111.94455,0.0,1991
91,40.915581,-112.734253,0.0,1991
92,40.838386,-111.921443,0.0,1991
93,41.260369,-112.231233,0.0,1991
94,40.74211,-111.95802,0.0,1991
95,40.85952,-111.91183999999998,0.0,1991
96,41.20345,-111.98239,0.0,1991
97,40.297058,-111.734076,0.0,1991
98,40.51956,-111.89072,0.0,1991
99,40.8249,-111.9238,0.0,1991
100,40.260787,-111.707982,0.0,1991
101,40.726834,-112.186278,0.0,1991
102,40.74800000000001,-111.958,0.0,1991
103,40.67413,-111.92328,0.0,1991
104,40.77777800000001,-112.025,0.0,1991
105,40.7889,-111.90441,30.5,1991
106,40.8249,-111.9238,22.6,1991
107,40.668325,-112.091908,0.0,1991
108,40.526461,-112.410368,0.0,1991
109,40.69384,-111.89586,0.0,1991
110,40.838386,-111.921443,53.6,1991
111,40.233755,-111.658456,7.6,1991
112,40.734036,-112.14104,0.0,1991
113,40.653604,-112.054074,22.5,1991
114,41.663,-112.432,0.0,1991
115,41.09394,-112.01698,0.0,1991
116,40.76498,-111.91061,0.0,1991
117,40.18577,-111.63096000000002,0.0,1991
118,40.81676,-111.92468,0.0,1991
119,40.388555,-110.12491,0.0,1991
120,40.67413,-111.92328,9.8,1991
121,40.7523,-111.9045,0.0,1991
122,40.273497,-111.676065,10.1,1991
123,37.115022,-113.51761100000002,17.6,1991
124,40.72803,-111.97521,11.0,1991
125,40.70739,-111.89273,10.1,1991
126,40.58775,-111.96951,12.5,1991
127,40.74203,-111.94455,17.6,1991
128,41.260369,-112.231233,11.8,1991
129,40.726834,-112.186278,16.6,1991
130,40.73416,-111.958,11.0,1991
131,40.734036,-112.14104,36.7,1991
132,40.7523,-111.9045,9.1,1991
133,40.71342,-111.8997,0.0,1991
134,40.57565,-112.02104,7.0,1991
135,41.20345,-111.98239,2.1,1991
136,40.736783,-111.96595,0.0,1991
137,40.51956,-111.89072,8.2,1991
138,40.73516,-111.91114,8.8,1991
139,40.86631,-111.91187,0.0,1991
140,40.388555,-110.12491,10.7,1991
141,40.86631,-111.91187,18.1,1991
142,41.10335,-112.03189,9.1,1991
143,40.78312,-111.95353,8.4,1991
144,40.736783,-111.96595,16.6,1991
145,40.77777800000001,-112.025,12.4,1991
146,40.886022,-111.904759,15.8,1991
147,41.8825,-112.1964,0.0,1991
148,40.69384,-111.89586,15.2,1991
149,40.199753,-111.631752,13.7,1991
150,41.09394,-112.01698,16.6,1991
151,41.663,-112.432,9.1,1991
152,40.70739,-111.89273,0.0,1991
153,40.72803,-111.97521,0.0,1991
154,40.34431,-111.74253,0.0,1991
155,40.729392,-111.97442,11.0,1991
156,41.093219,-112.028221,0.0,1991
157,40.273497,-111.676065,0.0,1991
158,40.73416,-111.958,0.0,1991
159,41.10335,-112.03189,0.0,1991
160,40.78312,-111.95353,0.0,1991
161,41.744977,-111.849247,10.0,1991
162,41.8825,-112.1964,33.0,1991
163,40.668325,-112.091908,11.6,1991
164,40.915581,-112.734253,76.2,1991
165,40.199753,-111.631752,13.7,1992
166,40.640035,-111.90184,0.0,1992
167,41.1016,-112.022469,15.2,1992
168,40.74800000000001,-111.958,12.2,1992
169,41.20345,-111.98239,0.0,1992
170,40.51956,-111.89072,0.0,1992
171,41.8825,-112.1964,0.0,1992
172,40.838386,-111.921443,53.6,1992
173,40.388555,-110.12491,10.7,1992
174,41.20345,-111.98239,2.1,1992
175,40.51956,-111.89072,8.2,1992
176,40.67413,-111.92328,9.8,1992
177,40.729392,-111.97442,11.0,1992
178,40.73516,-111.91114,8.8,1992
179,41.09394,-112.01698,16.6,1992
180,41.663,-112.432,9.1,1992
181,40.85952,-111.91183999999998,0.0,1992
182,40.8461,-111.92662,10.7,1992
183,40.69384,-111.89586,15.2,1992
184,40.736783,-111.96595,16.6,1992
185,40.8461,-111.92662,0.0,1992
186,40.74211,-111.95802,0.0,1992
187,40.388555,-110.12491,0.0,1992
188,40.6791,-111.8883,0.0,1992
189,40.297058,-111.734076,0.0,1992
190,40.58775,-111.96951,0.0,1992
191,40.8249,-111.9238,0.0,1992
192,40.86631,-111.91187,18.1,1992
193,40.7889,-111.90441,30.5,1992
194,40.886022,-111.904759,0.0,1992
195,40.838386,-111.921443,0.0,1992
196,40.233755,-111.658456,0.0,1992
197,40.8249,-111.9238,22.6,1992
198,41.20515,-112.01262,0.6,1992
199,40.886022,-111.904759,15.8,1992
200,40.233755,-111.658456,7.6,1992
201,40.734036,-112.14104,0.0,1992
202,40.78312,-111.95353,0.0,1992
203,40.78149000000001,-112.03622,0.0,1992
204,41.09394,-112.01698,0.0,1992
205,41.663,-112.432,0.0,1992
206,40.76498,-111.91061,0.0,1992
207,40.81676,-111.92468,0.0,1992
208,40.18577,-111.63096000000002,0.0,1992
209,40.22424,-111.64927,0.0,1992
210,40.76511,-111.92799,0.0,1992
211,40.74800000000001,-111.958,0.0,1992
212,41.1016,-112.022469,0.0,1992
213,40.70739,-111.89273,0.0,1992
214,41.28534000000001,-112.02797,0.0,1992
215,40.78238,-111.9042,0.0,1992
216,41.744977,-111.849247,10.0,1992
217,41.8825,-112.1964,33.0,1992
218,40.78312,-111.95353,8.4,1992
219,41.10335,-112.03189,9.1,1992
220,40.315185,-111.735274,16.6,1992
221,40.86631,-111.91187,0.0,1992
222,40.736783,-111.96595,0.0,1992
223,40.71342,-111.8997,0.0,1992
224,40.58775,-111.96951,12.5,1992
225,40.78202,-112.01349,10.1,1992
226,40.734036,-112.14104,36.7,1992
227,40.69384,-111.89586,0.0,1992
228,40.70739,-111.89273,10.1,1992
229,41.260369,-112.231233,11.8,1992
230,40.74203,-111.94455,17.6,1992
231,40.726834,-112.186278,16.6,1992
232,37.115022,-113.51761100000002,17.6,1992
233,40.73416,-111.958,11.0,1992
234,40.273497,-111.676065,10.1,1992
235,40.78149000000001,-112.03622,10.8,1992
236,40.668325,-112.091908,0.0,1992
237,40.260787,-111.707982,0.0,1992
238,40.57565,-112.02104,7.0,1992
239,40.653604,-112.054074,22.5,1992
240,40.668325,-112.091908,11.6,1992
241,41.093219,-112.028221,9.1,1992
242,41.10335,-112.03189,0.0,1992
243,40.315185,-111.735274,0.0,1992
244,40.273497,-111.676065,0.0,1992
245,41.093219,-112.028221,0.0,1992
246,40.7889,-111.90441,0.0,1992
247,40.913088,-111.890397,0.0,1992
248,40.640035,-111.90184,0.8,1992
249,40.34431,-111.74253,0.0,1992
250,40.726834,-112.186278,0.0,1992
251,40.74203,-111.94455,0.0,1992
252,41.260369,-112.231233,0.0,1992
253,40.8461,-111.92662,10.7,1993
254,40.78149000000001,-112.03622,0.0,1993
255,40.734036,-112.14104,0.0,1993
256,37.794865,-113.112675,0.0,1993
257,41.260369,-112.231233,0.0,1993
258,41.104055,-112.030719,11.6,1993
259,40.73516,-111.91114,8.8,1993
260,40.74578,-111.96385,8.2,1993
261,40.57565,-112.02104,7.0,1993
262,40.640035,-111.90184,0.8,1993
263,40.74211,-111.95802,0.0,1993
264,40.85952,-111.91183999999998,0.0,1993
265,40.34431,-111.74253,0.0,1993
266,40.86631,-111.91187,0.0,1993
267,40.726834,-112.186278,0.0,1993
268,41.260369,-112.231233,11.8,1993
269,40.736783,-111.96595,0.0,1993
270,40.6791,-111.8883,0.0,1993
271,40.71342,-111.8997,0.0,1993
272,40.72817,-111.88824,0.0,1993
